sample,time_s,ringIndex,ringId,surfaceValid,surfaceType,couplingQuality,distance_m,normalX,normalY,normalZ,phaseAttractionN,phaseRepulsionN,phaseDampingN,phaseTotalN,thrusterAssistN,manualThrusterN,automaticThrusterN,requestWorldX,requestWorldY,requestWorldZ,requestLocalX,requestLocalY,requestLocalZ,appliedWorldX,appliedWorldY,appliedWorldZ,appliedLocalX,appliedLocalY,appliedLocalZ,targetGimbalWorldX,targetGimbalWorldY,targetGimbalWorldZ,targetGimbalLocalX,targetGimbalLocalY,targetGimbalLocalZ,gimbalWorldX,gimbalWorldY,gimbalWorldZ,gimbalLocalX,gimbalLocalY,gimbalLocalZ,gimbalDeflection_deg,gimbalTargetError_deg,directionalAgreement01,reserveOutputScale,gimbalAtLimit,thrusterForceLimited,usingReserve,reserveDrainRate,reserveRechargeRate,couplingDemand01
16,0.1614,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1140,0.9935,-0.0081,0.0,28094.5,75.3,28094.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.067
16,0.1614,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,-0.0081,0.0,25905.1,73.9,25905.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
16,0.1614,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,25392.6,-53.8,25392.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.060
16,0.1614,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,27298.2,-53.7,27298.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.065
18,0.1814,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1220,0.9925,-0.0081,0.0,27551.9,192.9,27551.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.066
18,0.1814,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,0.0000,0.0,26103.7,-34.7,26103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
18,0.1814,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,26259.5,138.2,26259.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
18,0.1814,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,26359.3,-329.7,26359.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
20,0.2014,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1220,0.9925,-0.0081,0.0,26444.8,-269.8,26444.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
20,0.2014,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,0.0000,0.0,26610.8,159.3,26610.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
