# capacities: continuous 640000 N, highLoad 1280000 N, emergency 4480000 N. band: 0 Continuous 1 Performance 2 Extreme 3 Emergency 4 Saturated
sample,time_s,band,appliedCmdAvg,rawDemandAvg,requiredLoadN,dynamicLoadN,contReserveN,highReserveN,emergReserveN,curvReqMs2,curvAppliedMs2,curvClamped,availAccelMs2,accelReserveMs2,normalRate_degs,adhesionAccelMs2,adhesionForceN,adhesionLimited,airStability01,aeroN,grounded
166,1.661,0,0.000,0.000,294,294,639706,1279706,4479707,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,294,1
168,1.681,0,0.000,0.000,342,342,639658,1279658,4479659,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,342,1
170,1.701,0,0.000,0.000,394,394,639606,1279606,4479606,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,394,1
172,1.721,0,0.000,0.000,450,450,639550,1279550,4479551,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,450,1
174,1.741,0,0.000,0.000,509,509,639491,1279491,4479491,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,509,1
176,1.761,0,0.000,0.000,572,572,639428,1279428,4479429,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,572,1
178,1.781,0,0.000,0.000,639,639,639361,1279361,4479362,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,639,1
180,1.801,0,0.000,0.000,709,709,639291,1279291,4479291,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,709,1
182,1.821,0,0.000,0.000,784,784,639217,1279217,4479217,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,784,1
184,1.841,0,0.000,0.000,861,861,639139,1279139,4479139,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,861,1
186,1.861,0,0.000,0.000,943,943,639057,1279057,4479057,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,943,1
188,1.881,0,0.000,0.000,1028,1028,638972,1278972,4478972,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1028,1
190,1.901,0,0.000,0.000,1117,1117,638883,1278883,4478883,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1117,1
192,1.921,0,0.000,0.000,1210,1210,638790,1278790,4478790,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1210,1
194,1.941,0,0.000,0.000,1306,1306,638694,1278694,4478694,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1306,1
196,1.961,0,0.000,0.000,1405,1405,638595,1278595,4478595,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1405,1
198,1.981,0,0.000,0.000,1508,1508,638492,1278492,4478492,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1508,1
200,2.001,0,0.000,0.000,1616,1616,638384,1278384,4478385,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1616,1
202,2.021,0,0.000,0.000,1726,1726,638274,1278274,4478274,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1726,1
204,2.041,0,0.000,0.000,1841,1841,638159,1278159,4478159,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1841,1
206,2.061,0,0.000,0.000,1959,1959,638041,1278041,4478041,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,1959,1
208,2.081,0,0.000,0.000,2081,2081,637919,1277919,4477919,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2081,1
210,2.101,0,0.000,0.000,2206,2206,637794,1277794,4477795,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2206,1
212,2.121,0,0.000,0.000,2335,2335,637665,1277665,4477665,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,2335,1
