sample,time_s,node,probeHit,probeMode,usingGrace,dataAge_s,surfaceChanged,normalDelta_deg,startedInside,hitBackface,dist_m,heightErr_m,autoHoverCmd,manualBottomCmd,overchargeCmd,gravity,curvature,spring,damping,oscillation,attitude,preClamp,finalCmd,ceiling,appliedThrottle,forceN,reqPower,grantedPower,power01,overdrive,saturated
46,0.4614,1,1,1,0,0.000,0,0.0,0,0,2.949,-0.149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
46,0.4614,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
46,0.4614,3,1,1,0,0.000,0,0.6,0,0,2.944,-0.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
48,0.4814,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
48,0.4814,1,1,1,0,0.000,0,0.6,0,0,2.949,-0.149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
48,0.4814,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
48,0.4814,3,1,1,0,0.000,0,0.6,0,0,2.944,-0.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
50,0.5014,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
50,0.5014,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
50,0.5014,2,1,1,0,0.000,0,0.0,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
50,0.5014,3,1,1,0,0.000,0,0.0,0,0,2.944,-0.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
52,0.5214,0,1,1,0,0.000,0,0.6,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
52,0.5214,1,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
52,0.5214,2,1,1,0,0.000,0,0.6,0,0,2.948,-0.148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
52,0.5214,3,1,1,0,0.000,0,0.0,0,0,2.944,-0.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
54,0.5414,0,1,1,0,0.000,0,0.0,0,0,2.943,-0.143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.00,0.0000,0.0,0.00,0.00,1.000,0,0
